HS2,HS2 Description
1,LIVE ANIMALS
2,MEAT AND EDIBLE MEAT OFFAL
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES"
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NESOI"
5,"PRODUCTS OF ANIMAL ORIGIN, NESOI"
6,"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE"
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS
8,EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS
9,"COFFEE, TEA, MATE AND SPICES"
10,CEREALS
11,MILLING INDUSTRY PRODUCTS; MALT; STARCHES; INULIN; WHEAT GLUTEN
12,"OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUITS; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER"
13,LAC; GUMS; RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS
14,"VEGETABLE PLAITING MATERIALS AND VEGETABLE PRODUCTS, NESOI"
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES
16,"EDIBLE PREPARATIONS OF MEAT, FISH, CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES"
17,SUGARS AND SUGAR CONFECTIONERY
18,COCOA AND COCOA PREPARATIONS
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; BAKERS' WARES"
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS, OR OTHER PARTS OF PLANTS"
21,MISCELLANEOUS EDIBLE PREPARATIONS
22,"BEVERAGES, SPIRITS AND VINEGAR"
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FEED
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES
25,"SALT; SULFUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT"
26,"ORES, SLAG AND ASH"
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES"
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES"
29,ORGANIC CHEMICALS
30,PHARMACEUTICAL PRODUCTS
31,FERTILIZERS
32,"TANNING OR DYEING EXTRACTS; TANNINS AND DERIVATIVES; DYES, PIGMENTS AND OTHER COLORING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS"
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS"
34,"SOAP ETC.; LUBRICATING PRODUCTS; WAXES, POLISHING OR SCOURING PRODUCTS; CANDLES ETC., MODELING PASTES; DENTAL WAXES AND DENTAL PLASTER PREPARATIONS"
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
38,MISCELLANEOUS CHEMICAL PRODUCTS
39,PLASTICS AND ARTICLES THEREOF
40,RUBBER AND ARTICLES THEREOF
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER
42,"ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF GUT (OTHER THAN SILKWORM GUT)"
43,FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL
45,CORK AND ARTICLES OF CORK
46,"MANUFACTURES OF STRAW, ESPARTO OR OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK"
47,PULP OF WOOD OR OTHER FIBROUS CELLULOSIC MATERIAL; RECOVERED (WASTE AND SCRAP) PAPER AND PAPERBOARD
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, PAPER OR PAPERBOARD"
49,"PRINTED BOOKS, NEWSPAPERS, PICTURES AND OTHER PRINTED PRODUCTS; MANUSCRIPTS, TYPESCRIPTS AND PLANS"
50,"SILK, INCLUDING YARNS AND WOVEN FABRICS THEREOF"
51,"WOOL AND FINE OR COARSE ANIMAL HAIR, INCLUDING YARNS AND WOVEN FABRICS THEREOF; HORSEHAIR YARN AND WOVEN FABRIC"
52,"COTTON, INCLUDING YARNS AND WOVEN FABRICS THEREOF"
53,VEGETABLE TEXTILE FIBERS NESOI; YARNS AND WOVEN FABRICS OF VEGETABLE TEXTILE FIBERS NESOI AND PAPER
54,"MANMADE FILAMENTS, INCLUDING YARNS AND WOVEN FABRICS THEREOF"
55,"MANMADE STAPLE FIBERS, INCLUDING YARNS AND WOVEN FABRICS THEREOF"
56,"WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF"
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES SUITABLE FOR INDUSTRIAL USE"
60,KNITTED OR CROCHETED FABRICS
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED"
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED"
63,MADE-UP TEXTILE ARTICLES NESOI; NEEDLECRAFT SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES"
65,HEADGEAR AND PARTS THEREOF
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS, RIDING-CROPS AND PARTS THEREOF"
67,PREPARED FEATHERS AND DOWN AND ARTICLES THEREOF; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS"
69,CERAMIC PRODUCTS
70,GLASS AND GLASSWARE
71,"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMIPRECIOUS STONES, PRECIOUS METALS; PRECIOUS METAL CLAD METALS, ARTICLES THEREOF; IMITATION JEWELRY; COIN"
72,IRON AND STEEL
73,ARTICLES OF IRON OR STEEL
74,COPPER AND ARTICLES THEREOF
75,NICKEL AND ARTICLES THEREOF
76,ALUMINUM AND ARTICLES THEREOF
78,LEAD AND ARTICLES THEREOF
79,ZINC AND ARTICLES THEREOF
80,TIN AND ARTICLES THEREOF
81,BASE METALS NESOI; CERMETS; ARTICLES THEREOF
82,"TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL"
83,MISCELLANEOUS ARTICLES OF BASE METAL
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF"
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION RECORDERS AND REPRODUCERS, PARTS AND ACCESSORIES"
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK, TRACK FIXTURES AND FITTINGS, AND PARTS THEREOF; MECHANICAL ETC. TRAFFIC SIGNAL EQUIPMENT OF ALL KINDS"
87,"VEHICLES, OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF"
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF"
89,"SHIPS, BOATS AND FLOATING STRUCTURES"
90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF"
91,CLOCKS AND WATCHES AND PARTS THEREOF
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF
94,"FURNITURE; BEDDING, CUSHIONS ETC.; LAMPS AND LIGHTING FITTINGS NESOI; ILLUMINATED SIGNS, NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS"
95,"TOYS, GAMES AND SPORTS EQUIPMENT; PARTS AND ACCESSORIES THEREOF"
96,MISCELLANEOUS MANUFACTURED ARTICLES
97,"WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES"
98,"SPECIAL CLASSIFICATION PROVISIONS, NESOI"
99,"SPECIAL IMPORT REPORTING PROVISIONS, NESOI"
