HS4,HS4 Description
602,"LIVE PLANTS NESOI (INCLUDING THEIR ROOTS), CUTTINGS AND SLIPS; MUSHROOM SPAWN"
603,"CUT FLOWERS AND BUDS SUITABLE FOR BOUQUETS OR ORNAMENTAL PURPOSES, FRESH, DRIED, DYED, BLEACHED, IMPREGNATED OR OTHERWISE PREPARED"
604,"FOLIAGE, BRANCHES, GRASSES, MOSSES ETC. (NO FLOWERS OR BUDS), FOR BOUQUETS OR ORNAMENTAL PURPOSES, FRESH, DRIED, DYED, BLEACHED ETC."
701,"POTATOES (OTHER THAN SWEET POTATOES), FRESH OR CHILLED"
702,"TOMATOES, FRESH OR CHILLED"
703,"ONIONS, SHALLOTS, GARLIC, LEEKS AND OTHER ALLIACEOUS VEGETABLES, FRESH OR CHILLED"
704,"CABBAGES, CAULIFLOWER, KOHLRABI, KALE AND SIMILAR EDIBLE BRASSICAS, FRESH OR CHILLED"
705,"LETTUCE (LACTUCA SATIVA) AND CHICORY (CICHORIUM SPP.), FRESH OR CHILLED"
706,"CARROTS, TURNIPS, SALAD BEETS, SALSIFY, RADISHES AND SIMILAR EDIBLE ROOTS, FRESH OR CHILLED"
707,"CUCUMBERS AND GHERKINS, FRESH OR CHILLED"
708,"LEGUMINOUS VEGETABLES, SHELLED OR UNSHELLED, FRESH OR CHILLED"
709,"VEGETABLES NESOI, FRESH OR CHILLED"
710,"VEGETABLES (UNCOOKED OR COOKED BY STEAM OR BOILING WATER), FROZEN"
711,"VEGETABLES PROVISIONALLY PRESERVED (BY SULFUR DIOXIDE GAS, IN BRINE ETC.), BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION"
712,"VEGETABLES, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED"
713,"LEGUMINOUS VEGETABLES, DRIED SHELLED"
714,"CASSAVA (MANIOC), ARROWROOT, SALEP, JERUSALEM ARTICHOKES, SWEET POTATOES AND SIMILAR ROOTS ETC. (HIGH STARCH ETC. CONTENT), FRESH OR DRIED; SAGO PITH"
801,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS, FRESH OR DRIED"
802,"NUTS NESOI, FRESH OR DRIED"
803,"BANANAS, INCLUDING PLANTAINS, FRESH OR DRIED"
804,"DATES, FIGS, PINEAPPLES, AVOCADOS, GUAVAS, MANGOES AND MANGOSTEENS, FRESH OR DRIED"
805,"CITRUS FRUIT, FRESH OR DRIED"
806,"GRAPES, FRESH OR DRIED"
807,"MELONS (INCLUDING WATERMELONS) AND PAPAYAS (PAPAWS), FRESH"
808,"APPLES, PEARS AND QUINCES, FRESH"
809,"APRICOTS, CHERRIES, PEACHES (INCLUDING NECTARINES), PLUMS (INCLUDING PRUNE PLUMS) AND SLOES, FRESH"
810,"FRUIT NESOI, FRESH"
811,"FRUIT AND NUTS (UNCOOKED OR COOKED BY STEAM OR BOILING WATER), WHETHER NOT SWEETENED, FROZEN"
812,"FRUIT AND NUTS PROVISIONALLY PRESERVED (BY SULFUR DIOXIDE GAS, IN BRINE ETC.), BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION"
813,"FRUIT, DRIED, NESOI (OTHER THAN THOSE OF HEADINGS 0801 TO 0806); MIXTURES OF NUTS OR DRIED FRUITS OF THIS CHAPTER"
814,"PEEL OF CITRUS FRUIT OR MELONS (INCLUDING WATERMELONS), FRESH, FROZEN, DRIED OR PROVISIONALLY PRESERVED"
901,"COFFEE, WHETHER OR NOT ROASTED OR DECAFFEINATED; COFFEE HUSKS AND SKINS; COFFEE SUBSTITUTES CONTAINING COFFEE"
902,"TEA, WHETHER OR NOT FLAVORED"
903,MATE
904,"PEPPER OF THE GENUS PIPER; FRUITS OF THE GENUS CAPSICUM (PEPPERS) OR OF THE GENUS PIMENTA, DRIED, CRUSHED OR GROUND"
905,VANILLA
906,CINNAMON AND CINNAMON-TREE FLOWERS
907,"CLOVES (WHOLE FRUIT, CLOVES AND STEMS)"
908,"NUTMEG, MACE AND CARDAMONS"
909,"SEEDS OF ANISE, BADIAN, FENNEL, CORIANDER, CUMIN OR CARAWAY; JUNIPER BERRIES"
910,"GINGER, SAFFRON, TUMERIC (CURCUMA), THYME, BAY LEAVES, CURRY AND OTHER SPICES"
1001,WHEAT AND MESLIN
1002,RYE
1003,BARLEY
1004,OATS
1005,CORN (MAIZE)
1006,RICE
1007,GRAIN SORGHUM
1008,"BUCKWHEAT, MILLET AND CANARY SEEDS; OTHER CEREALS (INCLUDING WILD RICE)"
1101,WHEAT OR MESLIN FLOUR
1102,CEREAL FLOURS OTHER THAN OF WHEAT OR MESLIN
1103,"CEREAL GROATS, MEAL AND PELLETS"
1104,"CEREAL GRAINS, OTHERWISE WORKED (HULLED, ROLLED ETC.), EXCEPT RICE (HEADING 1006); GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND"
1105,"FLOUR, MEAL FLAKES, GRANULES AND PELLETS OF POTATOES"
1106,"FLOUR AND MEAL OF DRIED LEGUMINOUS VEGETABLES (HD. 0713), OF SAGO OR ROOTS ETC. (HD. 0714); FLOUR, MEAL AND POWDER OF FRUIT AND NUTS ETC. (CH. 8)"
1107,"MALT, WHETHER OR NOT ROASTED"
1108,STARCHES; INULIN
1109,"WHEAT GLUTEN, WHETHER OR NOT DRIED"
1201,"SOYBEANS, WHETHER OR NOT BROKEN"
1202,"PEANUTS (GROUND-NUTS), NOT ROASTED OR OTHERWISE COOKED, WHETHER OR NOT SHELLED OR BROKEN"
1203,COPRA
1204,"FLAXSEED (LINSEED), WHETHER OR NOT BROKEN"
1205,"RAPE OR COLZA SEEDS, WHETHER OR NOT BROKEN"
1206,"SUNFLOWER SEEDS, WHETHER OR NOT BROKEN"
1207,"OIL SEEDS AND OLEAGINOUS FRUITS NESOI, WHETHER OR NOT BROKEN"
1208,"FLOURS AND MEALS OF OIL SEEDS OR OLEAGINOUS FRUITS, OTHER THAN THOSE OF MUSTARD"
1209,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING"
1210,"HOP CONES, FRESH OR DRIED, WHETHER OR NOT GROUND, POWDERED OR IN THE FORM OF PELLETS; LUPULIN"
1211,"PLANTS AND PARTS OF PLANTS (INCLUDING SEEDS AND FRUITS), USED IN PERFUMERY, PHARMACY, OR FOR INSECTICIDAL OR SIMILAR PURPOSES, FRESH OR DRIED"
1212,"LOCUST BEANS, SEAWEEDS ETC., SUGAR BEET AND SUGAR CANE; FRUIT STONES AND KERNELS AND OTHER VEGETABLE PRODUCTS USED FOR HUMAN CONSUMPTION, NESOI"
1213,"CEREAL STRAW AND HUSKS, UNPREPARED, WHETHER OR NOT CHOPPED, GROUND, PRESSED OR IN THE FORM OF PELLETS"
1214,"RUTABAGAS (SWEDES), MANGOLDS, HAY, ALFALFA (LUCERNE), CLOVER, FORAGE KALE, LUPINES AND SIMILAR FORAGE PRODUCTS, WHETHER OR NOT IN THE FORM OF PELLETS"
1301,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND BALSAMS"
1302,"VEGETABLE SAPS AND EXTRACTS; PECTIC SUBSTANCES, PECTINATES AND PECTATES; AGAR-AGAR AND OTHER MUCILAGES AND THICKENERS, DERIVED FROM VEGETABLE PRODUCTS"
1401,"VEGETABLE MATERIALS USED PRIMARILY FOR PLAITING, INCLUDING BAMBOOS, RATTANS, REEDS, RUSHES, OSIER, RAFFIA, PROCESSED CEREAL STRAW AND LIME BARK"
1402,"VEGETABLE MATERIALS USED PRIMARILY AS STUFFING OR PADDING, INCLUDING KAPOK, VEGETABLE HAIR AND EEL-GRASS"
1403,"VEGETABLE MATERIALS USED PRIMARILY IN BROOMS OR BRUSHES, INCLUDING BROOMCORN, PIASSAVA, COUCHGRASS AND ISTLE"
1404,"VEGETABLE PRODUCTS, NESOI"
1501,"PIG FAT (INCLUDING LARD) AND POULTRY FAT, OTHER THAN OF HEADING 0209 OR 1503"
1502,"FATS OF BOVINE ANIMALS, SHEEP OR GOATS, OTHER THAN THOSE OF HEADING 1503"
1503,"LARD STEARIN, LARD OIL, OLEOSTEARIN, OLEO-OIL AND TALLOW OIL, NOT EMULSIFIED OR MIXED OR OTHERWISE PREPARED"
1504,"FATS AND OILS AND THEIR FRACTIONS, OF FISH OR MARINE MAMMALS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED"
1505,"WOOL GREASE AND FATTY SUBSTANCES DERIVED THEREFROM, INCLUDING LANOLIN"
1506,"ANIMAL FATS AND OILS AND THEIR FRACTIONS, NESOI, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED"
1507,"SOYBEAN OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED"
1508,"PEANUT (GROUND-NUT) OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED"
1509,"OLIVE OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED"
1510,"OLIVE-RESIDUE OIL AND BLENDS OF OLIVE OIL AND OIL-RESIDUE OIL, NOT CHEMICALLY MODIFIED"
1511,"PALM OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED"
1512,"SUNFLOWER-SEED, SAFFLOWER OR COTTONSEED OIL, AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED"
1513,"COCONUT (COPRA), PALM KERNEL OR BABASSU OIL AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED"
1514,"RAPESEED, COLZA OR MUSTARD OIL AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED"
1515,"FIXED VEGETABLE FATS AND OILS (INCLUDING JOJOBA OIL) AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED"
1516,"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, PARTLY OR WHOLLY HYDROGENATED ETC., WHETHER OR NOT REFINED, BUT NOT FURTHER PREPARED"
1517,MARGARINE; EDIBLE MIXTURES OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OR OF FRACTIONS OF DIFFERENT SPECIFIED FATS AND OILS
1518,"ANIMAL OR VEGETABLE FATS, OILS AND THEIR FRACTIONS, BOILED, OXIDIZED, ETC.; INEDIBLE MIXES OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS AND OILS, NESOI"
1519,INDUSTRIAL MONOCARBOXYLIC FATTY ACID; ACID OILS FROM REFINING; INDUSTRIAL FATTY ALCOHOLS
1520,"GLYCEROL (GLYCERINE), WHETHER OR NOT PURE; GLYCEROL WATERS AND GLYCEROL LYES"
1521,"VEGETABLE WAXES (OTHER THAN TRIGLYCERIDES), BEESWAX, OTHER INSECT WAXES AND SPERMACETI, WHETHER OR NOT REFINED OR COLORED"
1522,DEGRAS; RESIDUES RESULTING FROM THE TREATMENT OF FATTY SUBSTANCES OR ANIMAL OR VEGETABLE WAXES
1601,"SAUSAGES AND SIMILAR PRODUCTS, OF MEAT, MEAT OFFAL OR BLOOD; FOOD PREPARATIONS BASED ON THESE PRODUCTS"
1602,"PREPARED OR PRESERVED MEAT, MEAT OFFAL OR BLOOD, NESOI"
1603,"EXTRACTS AND JUICES OF MEAT, FISH OR CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES"
1604,PREPARED OR PRESERVED FISH; CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS
1605,"CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED"
1701,"CANE OR BEET SUGAR AND CHEMICALLY PURE SUCROSE, IN SOLID FORM"
1702,"SUGARS NESOI, INCLUDING CHEMICALLY PURE LACTOSE, MALTOSE, GLUCOSE AND FRUCTOSE IN SOLID FORM; SUGAR SYRUPS (PLAIN); ARTIFICIAL HONEY; CARAMEL"
1703,MOLASSES RESULTING FROM THE EXTRACTION OR REFINING OF SUGAR
1704,"SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA"
1801,"COCOA BEANS, WHOLE OR BROKEN, RAW OR ROASTED"
1802,"COCOA SHELLS, HUSKS, SKINS AND OTHER COCOA WASTE"
1803,"COCOA PASTE, WHETHER OR NOT DEFATTED"
1804,"COCOA BUTTER, FAT AND OIL"
1805,"COCOA POWDER, NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
1806,CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA
1901,"MALT EXTRACT; FOOD PREPARATIONS OF FLOUR, MEAL ETC. CONTAINING UNDER 40% COCOA NESOI; FOOD PREPARATIONS OF MILK ETC. CONTAINING UNDER 50% COCOA NESOI"
1902,"PASTA, WHETHER OR NOT COOKED OR STUFFED OR OTHERWISE PREPARED, INCLUDING SPAGETTI, LASAGNA, NOODLES ETC.; COUSCOUS, WHETHER OR NOT PREPARED"
1903,"TAPIOCA AND SUBSTITUTES THEREFOR PREPARED FROM STARCH, IN THE FORM OF FLAKES, GRAINS, PEARLS, SIFTINGS OR SIMILAR FORMS"
1904,"PREPARED FOODS FROM SWELLING OR ROASTING CEREALS OR PRODUCTS; CEREALS (EXC CORN), IN GRAIN FORM FLAKES OR WORKED GRAIN PREPARED N.E.S.O.I"
1905,"BREAD, PASTRY, CAKES, BISUITS AND OTHER BAKERS' WARES; COMMUNION WAFERS, EMPTY CAPSULES FOR MEDICINE ETC., SEALING WAFERS, RICE PAPER ETC."
2001,"VEGETABLES, FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS, PREPARED OR PRESERVED BY VINEGAR OR ACETIC ACID"
2002,TOMATOES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID
2003,"MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID"
2004,"VEGETABLES, OTHER THAN TOMATOES, MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, FROZEN, EXC PRODUCTS OF 2006"
2005,"VEGETABLES, OTHER THAN TOMATOES, MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN EXC PRDCTS OF 2006"
2006,"VEGETABLES, FRUIT, NUTS, FRUIT-PEEL AND OTHER PARTS OF PLANTS PRESERVED BY SUGAR (DRAINED, GLACE OR CRYSTALLIZED)"
2007,"JAMS, FRUIT JELLIES, MARMALADES, FRUIT OR NUT PUREE AND FRUIT OR NUT PASTES, BEING COOKED PREPARATIONS, WHETHER OR NOT CONTAINING ADDED SWEETENING"
2008,"FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SWEETENING OR SPIRIT, NESOI"
2009,"FRUIT JUICES NT FORTIFIED W VIT OR MINLS (INCL GRAPE MUST) & VEGETABLE JUICES, UNFERMENTD & NT CONTAING ADD SPIRIT, WHET OR NT CONTAING ADDED SWEETENG"
2101,"EXTRACTS, ESSENCES AND CONCENTRATES OF COFFEE, TEA OR MATE AND PREPARATIONS THEREOF; ROASTED CHICORY ETC. AND ITS EXTRACTS, ESSENCES AND CONCENTRATES"
2102,"YEASTS; OTHER SINGLE-CELL MICRO-ORGANISMS, DEAD (OTHER THAN MEDICINAL VACCINES OF HEADING 3002); PREPARED BAKING POWDERS"
2103,SAUCES AND PREPARATIONS THEREFOR; MIXED CONDIMENTS AND MIXED SEASONINGS; MUSTARD FLOUR AND MEAL AND PREPARED MUSTARD
2104,SOUPS AND BROTHS AND PREPARATIONS THEREFOR; HOMOGENIZED COMPOSITE FOOD PREPARATIONS
2105,"ICE CREAM AND OTHER EDIBLE ICE, WHETHER OR NOT CONTAINING COCOA"
2106,FOOD PREPARATIONS NESOI
2201,"WATERS, INCLUDING NATURAL OR ARTIFICIAL MINERAL WATERS AND AERATED WATERS, NOT CONTAINING ADDED SWEETENING NOR FLAVORED; ICE AND SNOW"
2202,"WATERS, INCLUDING MINERAL WATERS AND AERATED WATERS, CONTAINING ADDED SWEETENING OR FLAVORED, AND OTHER NONALCOHOLIC BEVERAGES NESOI"
2203,BEER MADE FROM MALT
2204,"WINE OF FRESH GRAPES, INCLUDING FORTIFIED WINES; GRAPE MUST (HAVING AN ALCOHOLIC STRENGTH BY VOLUME EXCEEDING 0.5% VOL.) NESOI"
2205,VERMOUTH AND OTHER WINE OF FRESH GRAPES FLAVORED WITH PLANTS OR AROMATIC SUBSTANCES
2206,"FERMENTED BEVERAGES, NESOI (INCLUD CIDER, PERRY & MEAD); MIXTURES OF FERMENTED BEVERAGES & MIXTURES OF FERMNTD BEVERAGES & NON-ALCOHOL BEVERAGES NESOI"
2207,"ETHYL ALCOHOL, UNDENATURED, OF AN ALCOHOLIC STRENGTH BY VOLUME OF 80% VOL. OR HIGHER; ETHYL ALCOHOL AND OTHER SPIRITS, DENATURED, OF ANY STRENGTH"
2208,"ETHYL ALCOHOL, UNDENATURED, OF AN ALCOHOLIC STRENGTH BY VOLUME OF UNDER 80% VOL.; SPIRITS, LIQUEURS AND OTHER SPIRITUOUS BEVERAGES"
2209,VINEGAR AND SUBSTITUTES FOR VINEGAR OBTAINED FROM ACETIC ACID
2301,"FLOURS, MEALS AND PELLETS, OF MEAT OR MEAT OFFAL, OF FISH OR OF CRUSTACEANS ETC., UNFIT FOR HUMAN CONSUMPTION; GREAVES (CRACKLINGS)"
2302,"BRAN, SHARPS AND OTHER RESIDUES (IN PELLETS OR NOT), DERIVED FROM THE SIFTING, MILLING OR OTHER WORKING OF CEREALS OR LEGUMINOUS PLANTS"
2303,"RESIDUES OF STARCH MANUFACTURE AND OTHER RESIDUES AND WASTE OF SUGAR MANUFACTURE, BREWING OR DISTILLING DREGS AND WASTE, WHETHER OR NOT IN PELLETS"
2304,"SOYBEAN OILCAKE AND OTHER SOLID RESIDUES RESULTING FROM THE EXTRACTION OF SOY BEAN OIL, WHETHER OR NOT GROUND OR IN THE FORM OF PELLETS"
2305,"PEANUT (GROUND-NUT) OILCAKE AND OTHER SOLID RESIDUES RESULTING FROM THE EXTRACTION OF PEANUT (GROUND-NUT) OIL, WHETHER OR NOT GROUND OR IN PELLETS"
2306,"OILCAKE AND OTHER SOLID RESIDUES (IN PELLETS OR NOT), RESULTING FROM THE EXTRACTION OF VEGETABLE FATS OR OILS (EXCEPT FROM SOYBEANS OR PEANUTS), NESOI"
2307,WINE LEES; ARGOL
2308,"VEGETABLE MATERIALS AND WASTE, VEGETABLE RESIDUES AND BY-PRODUCTS (IN PELLETS OR NOT), USED IN ANIMAL FEEDING, NESOI"
2309,PREPARATIONS OF A KIND USED IN ANIMAL FEEDING
2401,"TOBACCO, UNMANUFACTURED (WHETHER OR NOT THRESHED OR SIMILARLY PROCESSED); TOBACCO REFUSE"
2402,"CIGARS, CHEROOTS, CIGARILLOS AND CIGARETTES, OF TOBACCO OR OF TOBACCO SUBSTITUTES"
2403,"TOBACCO AND TOBACCO SUBSTITUTE MANUFACTURES, NESOI; HOMOGENIZED OR RECONSTITUTED TOBACCO; TOBACCO EXTRACTS AND ESSENCES"
2404,"PROD CONT TOBACCO, RECONST TOBACCO, TOBACCO / NICOTINE SUB, FOR INHALATION W/O COMBUST; NICOTINE-CONTAIN PROD FOR NICOTINE INTAKE INTO THE HUMAN BODY"
2501,"SALT (INCL TABLE & DENATURD SALT) & PURE SODIUM CHLORIDE, WHETH/NOT IN AQUEOUS SOLUTION OR CONTAIN ADDED ANTICAKING/FREE FLOWING AGENTS; SEA WATER"
2502,UNROASTED IRON PYRITES
2503,"SULFUR OF ALL KINDS, OTHER THAN SUBLIMED SULFUR, PRECIPITATED SULFUR AND COLLOIDAL SULFUR"
2504,NATURAL GRAPHITE
2505,"NATURAL SANDS OF ALL KINDS, OTHER THAN METAL-BEARING SANDS OF CHAPTER 26"
2506,"QUARTZ (OTHER THAN NATURAL SANDS); QUARTZITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT INTO BLOCKS OR SLABS OF A RECTANGULAR OR SQUARE SHAPE"
2507,"KAOLIN AND OTHER KAOLINIC CLAYS, WHETHER OR NOT CALCINED"
2508,"CLAYS NESOI (NOT INCLUDING EXPANDED CLAYS OF HEADING 6806), ANDALUSITE, KYANITE AND SILLIMANITE (CALCINED OR NOT); MULLITE; CHAMOTTE OR DINAS EARTHS"
2509,CHALK
2510,"NATURAL CALCIUM PHOSPHATES, NATURAL ALUMINUM CALCIUM PHOSPHATES AND PHOSPHATIC CHALK"
2511,"NATURAL BARIUM SULFATE (BARYTES); NATURAL BARIUM CARBONATE (WITHERITE), WHETHER OR NOT CALCINED (OTHER THAN BARIUM OXIDE OF HEADING 2816)"
2512,"SILICEOUS FOSSIL MEALS (INCLUDING KIESELGUHR, TRIPOLITE AND DIATOMITE) AND SIMILAR SILICEOUS EARTHS, OF AN APPARENT SPECIFIC GRAVITY OF 1 OR LESS"
2513,"PUMICE; EMERY; NATURAL CORUNDUM, NATURAL GARNET AND OTHER NATURAL ABRASIVES, WHETHER OR NOT HEAT-TREATED"
2514,"SLATE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING ETC. INTO BLOCKS OR SLABS OF RECTANGULAR OR SQUARE SHAPE"
2515,"MARBLE, TRAVERTINE AND OTHER CALCAREOUS BUILDING ETC. STONE OF AN APPARENT SPECIFIC GRAVITY OF 2.5 OR MORE, AND ALABASTER ROUGHLY SHAPED ETC. OR CUT"
2516,"GRANITE, PORPHYRY, BASALT, SANDSTONE AND OTHER BUILDING ETC. STONE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT BY SAWING ETC."
